dataset,dataset_label,seed,experiment,model,candidate_set,selection_criterion,selected_lambda,selected_C,feature_map,reps,entanglement,validation_F1,validation_Balanced Accuracy,validation_Business Cost,validation_FN,validation_FP,runtime_seconds,validation_source_path,Accuracy,Precision,Recall,Specificity,F1,Balanced Accuracy,ROC-AUC,PR-AUC,TN,FP,FN,TP,Business Cost
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,nonzero,validation_f1,0.05,0.5,zz,1,full,0.5573770491803278,0.6755952380952381,110.0,14.0,40.0,1.034,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.675,0.4675324675324675,0.6,0.7071428571428572,0.5255474452554745,0.6535714285714286,0.6959523809523809,0.41766786431395836,99,41,24,36,161.0
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,nonzero,validation_business_cost,0.05,0.5,zz,1,full,0.5573770491803278,0.6755952380952381,110.0,14.0,40.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.675,0.4675324675324675,0.6,0.7071428571428572,0.5255474452554745,0.6535714285714286,0.6959523809523809,0.41766786431395836,99,41,24,36,161.0
german_numeric,German Numeric Full,30,feature_specific,Feature-specific,nonzero,validation_balanced_accuracy,0.05,0.5,zz,1,full,0.5573770491803278,0.6755952380952381,110.0,14.0,40.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed30.csv,0.675,0.4675324675324675,0.6,0.7071428571428572,0.5255474452554745,0.6535714285714286,0.6959523809523809,0.41766786431395836,99,41,24,36,161.0
german_numeric,German Numeric Full,40,convex,Convex,all,validation_f1,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,1.162,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,convex,Convex,all,validation_business_cost,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,convex,Convex,all,validation_balanced_accuracy,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,convex,Convex,nonzero,validation_f1,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,convex,Convex,nonzero,validation_business_cost,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,convex,Convex,nonzero,validation_balanced_accuracy,0.5,0.3,zz,1,full,0.583941605839416,0.6979166666666667,89.0,8.0,49.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/convex/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4,0.7,0.55,0.509090909090909,0.625,0.6439285714285714,0.387870302363463,77,63,18,42,153.0
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,all,validation_f1,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,1.028,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,all,validation_business_cost,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,all,validation_balanced_accuracy,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,nonzero,validation_f1,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
german_numeric,German Numeric Full,40,feature_specific,Feature-specific,nonzero,validation_business_cost,0.25,0.15,zz,1,full,0.5751633986928104,0.6860119047619048,81.0,4.0,61.0,0.0,supplementary_source/target_dataset_qsvc_experiments/german_numeric/feature_specific_weighting/lambda_validation_c_tuned_samplefull_seed40.csv,0.595,0.4146341463414634,0.85,0.4857142857142857,0.5573770491803278,0.6678571428571428,0.6569047619047619,0.3909126357628076,68,72,9,51,117.0
